"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season"
"1","PER","PERIWINKLE","MALE","ALG","E",1989-12-01,"JM","MONTH ESTIMATE",1990-08-31,"JM","WEEK ESTIMATE",1991-10-25,"DAY ESTIMATE","OYSTER","OYS","JM","ALGAE",1969-11-01,2004-05-01,273,7335,420,8,0
"2","EDN","EDNA","UNKNOWN","ALT",NA,2014-10-15,"JM","WEEK ESTIMATE",2014-12-07,"MMW","DAY ESTIMATE",2016-02-15,"MONTH ESTIMATE","ODYSSEY","ODY","VF","ALTHEA",1988-11-01,NA,53,9479,435,12,1
"3","ADI","ADIA",NA,"ALT",NA,2020-11-20,"JM","WEEK ESTIMATE",2021-02-01,"VF","MONTH ESTIMATE",2022-04-30,"WEEK ESTIMATE","ETHEL","ETH","JM","ALTHEA",1988-11-01,NA,73,11707,453,2,0
"4","CNC","CANCER",NA,"ARI",NA,2003-11-01,"MK","MONTH ESTIMATE",2004-07-11,"JM","DAY ESTIMATE",2005-11-01,"MONTH ESTIMATE","PISCES","PSC","EK","ARIES",1991-11-01,NA,253,4383,478,7,0
"5","GEM","GEMINI","UNKNOWN","ARI",NA,2012-03-01,"EK","MONTH ESTIMATE",2013-03-03,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"ARIES",1991-11-01,NA,367,7426,NA,3,0
"6","MLA","MILA",NA,"ASN","H",2018-12-10,"JM","DAY ESTIMATE",2019-03-01,"JM","MONTH ESTIMATE",2020-10-01,"MONTH ESTIMATE","TATE","TTE","JM","ASHTON",2004-01-01,2021-05-01,81,5457,580,3,0
"7","TTE","TATE",NA,"ASN","H",2020-10-01,"JM","MONTH ESTIMATE",2021-05-01,"MHM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"ASHTON",2004-01-01,2021-05-01,212,6118,NA,5,0
"8","ATL","ATLAS","UNKNOWN","ATH","E",2009-10-21,"MAS","WEEK ESTIMATE",2010-03-17,"SAS","MONTH ESTIMATE",2011-10-20,"DAY ESTIMATE","PERSEPHONE","PSP","EK","ATHENA",1985-11-01,NA,147,8755,582,3,0
"9","CPT","CAPOTE","UNKNOWN","ATW",NA,2014-10-01,"JM","WEEK ESTIMATE",2014-12-06,"CBK","WEEK ESTIMATE",2021-11-01,"MONTH ESTIMATE","OFFRED","OFR","JM","ATWOOD",1984-11-01,NA,66,10926,2522,12,1
"10","OFR","OFFRED",NA,"ATW",NA,2021-11-01,"JM","MONTH ESTIMATE",2022-05-06,"JM","WEEK ESTIMATE",NA,NA,NA,NA,NA,"ATWOOD",1984-11-01,NA,186,13514,NA,5,0
"11","SOK","SPOOK",NA,"BAD","E",2002-10-20,"JJW","WEEK ESTIMATE",2003-12-30,"JM","MONTH ESTIMATE",2005-05-01,"MONTH ESTIMATE","GHOUL","GHL","RCC","BADGHOST",1982-11-01,NA,436,7293,488,12,1
"12","SEN","SEANCE","UNKNOWN","BAD","E",2009-10-15,"MAS","WEEK ESTIMATE",2010-03-17,"SAS","MONTH ESTIMATE",2011-09-12,"DAY ESTIMATE","YETI","YTI","JM","BADGHOST",1982-11-01,NA,153,9845,544,3,0
"13","YTI","YETI","UNKNOWN","BAD","E",2011-09-12,"JM","DAY ESTIMATE",2013-01-28,"JM","MONTH ESTIMATE",2018-12-01,"WEEK ESTIMATE","SPECTER","SPR","EK","BADGHOST",1982-11-01,NA,504,10542,2133,1,1
