Update needed in DBASE,"Type of Update (Birth, Death, Weaning, Sex)",MaternalHaplotypes,MaternalForagingType,Primary Location,MomName,MomID,CalfName,CalfID,SurviveTo3,WeaningAgeKnown,IBI,WeanToSurvivingcalfInterval,WeantoSurvivingCalfCensored,"First,Early,InBetween,Last,Unknown (FENLU)",LastSurvivingCalf,GrandmaKnown,LastSightingCalf,LastSightingMother,Obs1Calf,Obs1Mom,AssignedBDay,45104,BDayAccuracy,PrimaryBdayEstimateReason,SecondaryBdayEstimateReason,WhoAssignedBDay,MotherLastSeenBeforeCalfBirth,Interval between mothers last sighting,Calf's age at first sight,Obs2,FirstCalfSight,NotesCalfSizeBehavior,Obs3,CalfLastBP,Obs4,MumLastWLiveCalf,Obs5,MumWOCalf,Obs6,DeathDate,DeathAgeYrs,GapSightings,GapSightingsDivide2,DeathDateAccuracy,DeathDateReason1,DeathDateReason2,DeathNotes,WhoDetermineDeathDate,WeaningDateAccuracy,WeanDateReason1,WeaningDateReason2,WhoDetermineWeanDate,LastWMum80%Surveys,NotBPorWOMum50%Surveys,,WeaningDate,WeaningAgeDays,WeaningAgeMonths,WeaningAgeYears,WeanNotes,DoWStatus,Shae/EKWeaningDateNotes2010,ShaeMatrilinesNotesAug2012,CBKMatrilinesNotes2013
N,,E,N,RED CLIFF BAY,ALGAE,ALG,WEED,WEE,y,n,4.084931507,2.091780822,n,e,,,29-Jun-94,2-May-03,RCC,BLS,01/11/1985,38,YearEstimate,MotherFirstSightWithCalf,,RAS,,,1.49,,1-May-87,"1st ID in 1987, probably born sp/su 1985",DDD,,,13-Jul-89,RCC,28-Mar-90,JM,,,258,129,,,,,,YearEstimate,BirthdateUncertain,SiblingBirth,JM,13-Jul-89,1-Dec-89,141,21-Sep-89,1420.5,46.57377049,3.881147541,both ends and by PER pregnancy; independent by 1989,,,,
N,,E,N,RED CLIFF BAY,ALGAE,ALG,PERIWINKLE,PER,n,d,1.898630137,,,n,,,16-Aug-90,2-May-03,KAW,BLS,01/12/1989,34,MonthEstimate,SpringSummerYoy,,JM,17-Jun-89,0.77,0.31,JM,24-Mar-90,"At least 2-3 mos old, no fetal folds.",JM,,,16-Aug-90,KAW,16-Sep-90,KAW,31/08/1990,0.749,31,16,WeekEstimate,DeadPreWeaning,,estimated age of death 8.5 months,JM,,,,,,,,,,,,,,,,
N,,E,N,RED CLIFF BAY,ALGAE,ALG,OYSTER,OYS,y,y,5.895890411,3.061643836,n,n,,,3-Aug-94,2-May-03,RCC,BLS,25/10/1991,32,DayEstimate,InfantFirstSight,,JM,17-Oct-91,0.05,0.02,JM,3-Nov-91,"1-2 wks, breathes normally, no chin-ups so > 1 week",JM,12-May-94,JM,3-Aug-94,RCC,15-Sep-94,RCC,,,43,22,,,,,,WeekEstimate,Midpoint,StoppedSightingPostWeaning,JM,3-Aug-94,15-Sep-94,43,24-Aug-94,1034.5,33.91803279,2.826502733,midpt last Bp 12 May 94 and with last sighted but not BP being 3 Aug 94,,,,
N,,E,N,RED CLIFF BAY,ALGAE,ALG,AGAR,AGA,y,y,,,,l,y,,,2-May-03,,BLS,15/09/1997,26,WeekEstimate,InfantFirstSight,,MRH,13-Aug-97,0.13,0.04,RCC,1-Oct-97,1-2 wks,MRH,2-May-03,BLS,2-May-03,BLS,6-Jul-03,RCC,,,65,33,,,,,,MonthEstimate,Midpoint,,JM,3-May-03,6-Jul-03,64,4-Jun-03,2088,68.45901639,5.704918033,midpoint btwn last bp and first no mom present; Algae not seen after weaning Agar,,,,
N,,A ,N,WHALE BIGHT,ALIEN,ALI,MULDER,MUL,y,n,3.917808219,0.62739726,y,n,,,,25-Jan-08,,CCC,01/11/2000,23,YearEstimate,Gap,,JM,3-Nov-99,1.75,0.75,JM,2-Aug-01,"R14, F25-33",JJW,21-Dec-03,AS,21-Dec-03,AS,11-Apr-04,QAG,,,112,56,,,,,,MonthEstimate,Midpoint,SiblingBirth,JM,21-Dec-03,11-Apr-04,112,15-Feb-04,1201,39.37704918,3.281420765,midpoint,,,,
N,,A ,N,WHALE BIGHT,ALIEN,ALI,RAEL,RAE,y,y,,,,l,y,,,25-Jan-08,,CCC,01/10/2004,19,WeekEstimate,InfantFirstSight,,RCC,19-Sep-04,0.1,0.06,RCC,24-Oct-04,"calf first sight RCC survey, calf looks like yoy, in echelon, f58 rcc 24-oct-04",RCC,26-Jan-08,CCC,26-Jan-08,CCC,,,,,,,,,,,,MonthEstimate,DefaultDate,Gap,JM,26-Jan-08,16-Jun-09,507,1-May-08,1308,42.8852459,3.573770492,haven't seen ali since 26-jan-08,,,,
N,,,,EAST,RENO,REN,TREEGUM,TEG,n,d,,,,,,,16-Jan-19,,,,15/11/2018,5,MonthEstimate,InfantFirstSight,,EK,26-Jul-18,0.48,0.17,EK,16-Jan-19,No fetal lines or faint ones (hard to see on low quality photos) swimming sbs with ALO,CCC,16-Jan-19,CCC,16-Jan-19,CCC,15-May-19,TCC VF,16/03/2019,0.333,119,60,WeekEstimate,DeadPreWeaning,,,JM,,,,,,,,,,,,,,,,
N,,,,EAST,RENO,REN,TAHOE,TAH,still alive,,,,,,,,,,,,01/11/2021,,MonthEstimate,SpringSummerYoy,,VF JM,3-Jun-20,2.23,0.81,CCC,25-Aug-22,"yoy, smaller than Toot",MMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,WHALE BIGHT,ALTHEA,ALT,DEIANIRA,DNR,y,y,,,,e,,,23-Oct-05,,MK,,01/11/2001,22,MonthEstimate,SpringSummerYoy,MotherFirstSightWithCalf,JM,,,0.72,,23-Jul-02,mother first sight with yoy,JM,23-Oct-05,MK,23-Oct-05,MK,19-Jul-06,RCC,,,,,Unknown,StoppedSightingPostWeaning,,,EK,MonthEstimate,Midpoint,StoppedSightingPostWeaning,SAS,23-Oct-05,19-Jul-06,269,6-Mar-06,1586.5,52.01639344,4.334699454,,,,,
N,,,N,WHALE BIGHT,ALTHEA,ALT,PEDRO,PDR,y,y,,,,n,,,,,,,01/11/2006,17,MonthEstimate,Gap,,JM,19-Jul-06,2.45,2.16,MK,29-Dec-08,Althea with males in October 2005.  EK and MAS said calf looks 2-3 years old on 15-Sep-09.,CCC,6-Dec-10,EK,,,,,,,,,,,,,,MonthEstimate,Midpoint,,SAS,6-Dec-10,24-Oct-11,322,16-May-11,1657,54.32786885,4.527322404,,,,,
N,,,N,WHALE BIGHT,ALTHEA,ALT,EDNA,EDN,n,d,,,,n,,,20-Nov-14,,MMW,,15/10/2014,9,WeekEstimate,InfantFirstSight,,JM MMW,26-Sep-14,0.15,0.09,MMW,18-Nov-14,"Fetal lines, not much ech, possibly pds tds. JM based on photos 1 month old",MMW,20-Nov-14,MMW,20-Nov-14,MMW,24-Dec-14,MMW,07/12/2014,0.145,34,17,WeekEstimate,DeadPreWeaning,,,CBK,,,,,,,,,,,,,,,,
N,,,N,WHALE BIGHT,ALTHEA,ALT,ODYSSEY,ODY,y,y,,,,,,,16-Oct-18,16-Oct-18,,,15/02/2016,7,MonthEstimate,InfantFirstSight,,VF JM,28-Aug-15,0.76,0.29,EK,30-May-16,Estimated about a year. ALTHEA lost EDNA in late November 2014 so probably did not get pregnant until Jan or Feb of 2015.,VF,16-Oct-18,TCC,16-Oct-18,TCC,25-Sep-19,MHM,,,,,,,,,,MonthEstimate,Reduced MC Association,DefaultDate,JM,16-Oct-18,25-Sep-19,344,1-May-19,1171,38.39344262,3.199453552,ALT seen consorted without ODY on 25Sep19 by MHM; ODY last seen in bp 16Oct18,,,,
Y,D,,N,WHALE BIGHT,ALTHEA,ALT,ADIA,ADI,n,d,,,,,,,,,,,20/11/2020,3,WeekEstimate,InfantFirstSight,,JM VF,30-Sep-19,1.2,0.05,MHM,10-Dec-20,Adia first seen 10-Dec-20 and JM estimated no more than 5 weeks based on photos,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,WHALE BIGHT,ALTHEA,ALT,ETHEL,ETH,still alive,,,,,,,,,,,,30/04/2022,1,WeekEstimate,InfantFirstSight,,JM VF,11-Dec-20,1.53,0.15,CCC,22-Jun-22,"First seen 22-Jun-22. Althea last seen 11-Dec-20 with newborn calf Adia, which died. New calf still has faint fetal lines, estimated ~2 months old So if Adia died around Feb-Mar 2021, then got preg in late April and had Ethel a year later. That makes sense. I would probably say calf is 6-9 weeks given how clear the lines are and seems to stay in BP a lot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,GUICH FLATS,ALLUVION,ALV,DELUGE,DLG,u,n,0,,,u,,,23-Jul-02,20-Aug-02,JM,RCC,01/11/2000,23,YearEstimate,MotherFirstSightWithCalf,,JM,22-Aug-99,2.08,0.88,MK,20-Sep-01,"no age info. JM - 2002 photo DLG looks big, bday could be earlier, probably 1999 birth",RCC,23-Jul-02,JM,23-Jul-02,JM,20-Aug-02,RCC,06/08/2002,,,,UNKNOWN,UncertainSurvivalStatusPreWeaning,Rarely Sighted,,EK,MonthEstimate,BirthdateUncertain,Midpoint,EK,23-Jul-02,20-Aug-02,28,6-Aug-02,643,21.08196721,1.756830601,IF 1999 BDATE THEN WOULD HAVE BEEN 2.7 AT WEANING,DEAD OR WEANED,,,
N,,  ,N,WHALE BIGHT,AMANDA,AMA,KYDO,KYD,y,n,,,,e,,,,,,,01/11/1996,27,YearEstimate,MotherFirstSightWithCalf,,JM,,,0.31,,23-Feb-97,No details on size; jm on 9Aug99: older calf maybe 2.5 yrs old,KH,3-Nov-99,JM,3-Nov-99,JM,27-Sep-01,RCHS,,,694,347,,,,,,YearEstimate,BirthdateUncertain,Midpoint,JM,3-Nov-99,27-Sep-01,694,15-Oct-00,1444,47.3442623,3.945355191,but birthday could be one year earlier,,,,
N,,  ,N,WHALE BIGHT,AMANDA,AMA,PANDA,PDA,n,d,,,,u,,,24-Jun-08,24-Jun-08,JM,JM,15/04/2008,15,WeekEstimate,InfantFirstSight,,JM,5-Oct-04,3.72,0.19,RCC,24-Jun-08,v.small faint fetal lines ~ 2months old,JM,,,,,,,01/05/2009,,,,Unknown,DefaultDate,MotherCalfNotSightedSince,AMA or PDA not sighted since PDA was young. PDA could be weaned or dead,JM,,,,,,,,,,,,,DEAD OR WEANED,,,
N,,,,PERON,AMELIE,AME,AURELIE,AUL,u,n,,,,f,,,29-Jul-04,,BLS,,01/11/2003,20,MonthEstimate,SpringSummerYoy,MotherFirstSightWithCalf,BLS,,,0.74,,29-Jul-04,yoy,BLS,,,29-Jul-04,BLS,23-Jun-11,JM,,,,,Unknown,UncertainSurvivalStatusPreWeaning,Gap,,EK,,,,,,,,,,,,,DEAD OR WEANED,,,
