"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season","Present","CalfAgeDeathYrs","EventCensored","MomDeadCensored","MomAliveCensored","TimeToEvent","CalfAgeDeathCategories","a.Calf.under.3mo","b.Calf.3mo.to.1y","c.Calf.1y.to.2y","d.Calf.2y.to.3y"
"1","PER","PERIWINKLE","MALE","ALG","E",1989-12-01,"JM","MONTH ESTIMATE",1990-08-31,"JM","WEEK ESTIMATE",1991-10-25,"DAY ESTIMATE","OYSTER","OYS","JM","ALGAE",1969-11-01,2004-05-01,273,20.082135523614,1.14989733059548,8,0,2025-03-30,0.747433264887064,1,0,0,1.14989733059548,"b.Calf.3mo.to.1y",0,1,0,0
"2","EDN","EDNA","UNKNOWN","ALT",NA,2014-10-15,"JM","WEEK ESTIMATE",2014-12-07,"MMW","DAY ESTIMATE",2016-02-15,"MONTH ESTIMATE","ODYSSEY","ODY","VF","ALTHEA",1988-11-01,NA,53,25.9520876112252,1.19096509240246,12,1,2025-03-30,0.145106091718001,1,0,0,1.19096509240246,"a.Calf.under.3mo",1,0,0,0
"3","CNC","CANCER",NA,"ARI",NA,2003-11-01,"MK","MONTH ESTIMATE",2004-07-11,"JM","DAY ESTIMATE",2005-11-01,"MONTH ESTIMATE","PISCES","PSC","EK","ARIES",1991-11-01,NA,253,12,1.30869267624914,7,0,2025-03-30,0.692676249144422,1,0,0,1.30869267624914,"b.Calf.3mo.to.1y",0,1,0,0
"4","MLA","MILA",NA,"ASN","H",2018-12-10,"JM","DAY ESTIMATE",2019-03-01,"JM","MONTH ESTIMATE",2020-10-01,"MONTH ESTIMATE","TATE","TTE","JM","ASHTON",2004-01-01,NA,81,14.9404517453799,1.58795345653662,3,0,2025-03-30,0.2217659137577,1,0,0,1.58795345653662,"a.Calf.under.3mo",1,0,0,0
"5","SOK","SPOOK",NA,"BAD","E",2002-10-20,"JJW","WEEK ESTIMATE",2003-12-30,"JM","MONTH ESTIMATE",2005-05-01,"MONTH ESTIMATE","GHOUL","GHL","RCC","BADGHOST",1982-11-01,NA,436,19.9671457905544,1.33607118412047,12,1,2025-03-30,1.1937029431896,1,0,0,1.33607118412047,"c.Calf.1y.to.2y",0,0,1,0
"6","SEN","SEANCE","UNKNOWN","BAD","E",2009-10-15,"MAS","WEEK ESTIMATE",2010-03-17,"SAS","MONTH ESTIMATE",2011-09-12,"DAY ESTIMATE","YETI","YTI","JM","BADGHOST",1982-11-01,NA,153,26.9541409993155,1.48939082819986,3,0,2025-03-30,0.418891170431211,1,0,0,1.48939082819986,"b.Calf.3mo.to.1y",0,1,0,0
"7","YTI","YETI","UNKNOWN","BAD","E",2011-09-12,"JM","DAY ESTIMATE",2013-01-28,"JM","MONTH ESTIMATE",2018-12-01,"WEEK ESTIMATE","SPECTER","SPR","EK","BADGHOST",1982-11-01,NA,504,28.8624229979466,5.83983572895277,1,1,2025-03-30,1.37987679671458,1,0,0,5.83983572895277,"c.Calf.1y.to.2y",0,0,1,0
"8","SPR","SPECTER",NA,"BAD","E",2018-12-01,"EK","WEEK ESTIMATE",2019-05-04,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"BADGHOST",1982-11-01,NA,154,36.082135523614,NA,5,0,2025-03-30,0.421629021218344,0,0,1,5.90554414784394,"b.Calf.3mo.to.1y",0,1,0,0
"9","TRC","TRISCUIT",NA,"BIS","E",1992-11-01,"JM","MONTH ESTIMATE",1994-07-02,"JM","MONTH ESTIMATE",1996-11-01,"MONTH ESTIMATE","BAGEL","BAG","JM","BISCUIT",1965-11-01,2007-05-01,608,27.0006844626968,2.33538672142368,7,0,2025-03-30,1.66461327857632,1,0,0,2.33538672142368,"c.Calf.1y.to.2y",0,0,1,0
"10","DRO","DRONE","MALE","BLI","E",1988-11-01,"JM","WEEK ESTIMATE",1990-06-25,"JM","WEEK ESTIMATE",1993-12-01,"MONTH ESTIMATE","RIPLEY","RIP","JM","BLIP",1970-11-01,NA,601,18.0013689253936,3.43600273785079,6,0,2025-03-30,1.64544832306639,1,0,0,3.43600273785079,"c.Calf.1y.to.2y",0,0,1,0
