Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
AAR,AARHUS,FALSE,UNKNOWN,,DMK,YEAR ESTIMATE,11/01/2003,,11/1/2004,,,JM,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,GAP,,,,Calf not distinctive.,,,,,,,,NO,,,
ABA,ABALONE,FALSE,FEMALE,HIGH,WHL,MONTH ESTIMATE,11/01/2010,,,,,SAS,,"on 16-Oct-10 WHL said to look ""big""; calf looks 1-2 yrs in photos-SAS & VF",,,,,,,,,MONTH ESTIMATE,8/7/2014,GAP,,MIDPOINT,JM,,YES,mom was herded nov 2013 so if she got pregnant she would have lost calf before nudibranch. we expect weaned ABA in 2014,,
ABC,ABERCROMBIE,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1994,,,ASSIGNED 10 YRS,,JM,,"ABC seen with juveniles but no size info. Given default 10 yrs. at first sight. No size information so given default age of 10 years, but suspect young since sexed and no mention of speckles",,,,,,,,,,,,,,,,,,,
ABE,ABE,FALSE,,,URP,YEAR ESTIMATE,11/01/1991,,,MOTHER FIRST SIGHT WITH CALF,,JM,,1.5-2YRS.,YEAR ESTIMATE,19/06/1994,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,,JM,,,,,,,,,,NO,,1994,
ACA,ACACIA,FALSE,UNKNOWN,,SLT,MONTH ESTIMATE,11/01/2006,9/1/2006,1/1/2007,SPRING SUMMER YOY,,JM,,,MONTH ESTIMATE,05/06/2008,DEAD PREWEANING,SIBLING BIRTH,MIDPOINT,JM,,Gap between LDO birth too narrow and ACA would have been with SLT in Jun 2009 if still alive.,,,,,,,,,,,
ACD,ACADIA,FALSE,UNKNOWN,,ZIO,MONTH ESTIMATE,11/01/2003,11/1/2002,11/1/2003,MOTHER FIRST SIGHT WITH CALF,GAP,EK,,Calf was at least 2 at first sighting based on photos.,,,,,,,,,,,,,,,,,,,Could have been weaned since large at first sighting and there was a 5 year gap before next sighting of mother.
ACF,ANOTHER CLEAN FIN,FALSE,,,,YEAR ESTIMATE,11/01/1997,11/1/1994,11/1/1997,,,JM,,A juvenile in 2004 because RCC though it was a calf.  We need speckle info as still looked smallish (juvenile) in 2012.,,,,,,,,,,,,,,,,,,,This birthdate is completely made up. Need to check sightings
ACK,ACK,FALSE,MALE,LOW,,YEAR ESTIMATE,11/01/1980,11/1/1970,11/1/1980,ALLIANCE,,EK,JM,"Based on 1996 photo and number of old scars, he must have been at least 16 in photo. No obvious speckles but photo quality is not great.",YEAR ESTIMATE,01/05/1999,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Seen 96 to 98 and then never again. Distinctive enough that we should have tracked him if he was alive.,,,,,,,,,,1998,
ADC,ANDRONICUS,FALSE,UNKNOWN,,TTU,WEEK ESTIMATE,06/01/2001,4/1/2001,6/15/2001,INFANT FIRST SIGHT,MOTHER FIRST SIGHT WITH CALF,JM,,may have had fetal lines,MONTH ESTIMATE,04/03/2002,DEAD PREWEANING,,MIDPOINT,EK,,,,,,,,,,,,,
ADI,ADIA,FALSE,,,ALT,WEEK ESTIMATE,20/11/2020,10/15/2020,12/1/2020,INFANT FIRST SIGHT,,JM,VF,Adia first seen 10-Dec-20 and JM estimated no more than 5 weeks based on photos,,,,,,,,,,,,,,,,,,,
ADR,ANDROMEDA,FALSE,FEMALE,LOW,,YEAR ESTIMATE,11/01/1988,,,ASSIGNED 10 YRS,,SAS,,,,,,,,,,,,,,,,,,,,,
AGA,AGAR,FALSE,MALE,HIGH,ALG,WEEK ESTIMATE,15/09/1997,,,INFANT FIRST SIGHT,,MRH,,1-2 WKS,,,,,,,,,MONTH ESTIMATE,6/4/2003,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT BTWN LAST BP AND FIRST NO MOM PRESENT; ALGAE NOT SEEN AFTER WEANING AGAR,2006,
AGB,ALGEBRA,FALSE,,,SUM,MONTH ESTIMATE,11/01/2021,9/1/2021,1/1/2022,SPRING SUMMER YOY,,VF,JM,Sum last seen 8-Jun-19. Calf yoy on 27-May-22.,,,,,,,,,,,,,,,,,,,DAP name CTN-CARTESIAN
AHA,AHAB,FALSE,MALE,LOW,,YEAR ESTIMATE,11/01/1980,11/1/1978,11/1/1982,SSSS,91CAT,EK,JM,Juvenile in 1987 so we added a range. In 1991catalog considered juvenile or subadult.,MONTH ESTIMATE,01/05/1994,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Was sighted every year so we think he disappeared by 1994.,,,,,,,,,,1993,
AJA,AJAX,FALSE,MALE,HIGH,,,11/01/1980,,,91CAT,,,,,,,,,,,,,,,,,,,,,,2006,
ALB,ALBATROSS,FALSE,MALE,HIGH,KIT,WEEK ESTIMATE,15/10/2015,10/5/2015,10/31/2015,INFANT FIRST SIGHT,,JM,,"stipes, smooth, peduncle dives staying down for 2min or a little more. mostly synch with mum and BP for 1 to 5 min. stayed primarily ech though and was seen petting with KIT",,,,,,,,,MONTH ESTIMATE,5/1/2020,REDUCED MC ASSOCIATION,,DEFAULT DATE,VF,JM,YES,"Albatross was with Kite on 17-Apr-20. Kite was seen without Albatross on 23-Jan-21, and then Albatross was seen without Kite on 16-Mar-21",,
ALD,ALDENTE,FALSE,UNKNOWN,,GNO,WEEK ESTIMATE,15/12/2007,11/15/2007,12/30/2007,INFANT FIRST SIGHT,,CCC,,maybe a couple of months old,YEAR ESTIMATE,01/05/2008,DEAD PREWEANING,SIBLING BIRTH,DEFAULT DATE,JM,,ALD had to have died between Feb 2008 sighting or early 2009 because of PLT birth likely in 2010. Gap in sightings. jan sighting date without calf is estimate from CCC since saw GNO with PLT in Jan 2012 no other details.,,,,,,,,,,,This dolphin originally called Polenta which we switched to Gnocchi's next calf.  So decided that AlDente died and Polenta is alive and well born in 2010.
ALF,ALFALFA,FALSE,,,CLV,MONTH ESTIMATE,11/01/2020,10/3/2020,1/1/2021,SSSS,,VF,JM,Clover last seen 3-Oct-19 being consorted by males. Calf estimated 1.5 yrs old on 28-May-22.,,,,,,,,,,,,,,,,,,,
ALG,ALGAE,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1969,11/1/1965,11/1/1969,SSSS,91CAT,EK,JM,Had speckles on DF in 1989 so probably at least 20. We reviewed speckles on her and she could have had a calf before Weed.,YEAR ESTIMATE,01/05/2004,,,DEFAULT DATE,,,,,,,,,,,,,2003,
ALI,ALIEN,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1982,11/1/1981,11/1/1984,91CAT,SSSS,EK,JM,In 2002 does not have obvious speckles so age is probably pretty close and she could be a little younger.  Considered subadult in 1991.,YEAR ESTIMATE,01/05/2011,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,JM,Had 2 year gap in sightings.,,,,,,,,,,2006,
ALP,ALPACA,FALSE,,,LLA,MONTH ESTIMATE,11/01/2016,11/1/2016,2/1/2018,SPRING SUMMER YOY,,VF,JM,"first seen on 25Jun19, estimated 1.5 years, then later adjusted to 2.5 years based on sibling birth",,,,,,,,,MONTH ESTIMATE,5/1/2020,SIBLING BIRTH,,DEFAULT DATE,JM,VF,YES,Alpaca weaned and Llama with Kuzco who was estimated to be 1.5 years on 24-Apr-22,,
ALT,ALTHEA,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1988,11/1/1975,11/1/1990,SSSS,,JM,,ALT had yoy in 2002 at her first sighting,,,,,,,,,,,,,,,,,,,
ALU,ALUCO,FALSE,MALE,HIGH,TAW,MONTH ESTIMATE,11/01/2015,9/15/2015,11/15/2015,INFANT FIRST SIGHT,,JM,,"based on photo looks about 3 months, fat and healthy, no visible fetal lines though possible scratches",,,,,,,,,MONTH ESTIMATE,12/25/2018,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,ALU with TAW during survey but >1hr separation later that day,,
ALV,ALLUVION,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1981,11/1/1975,11/1/1981,SSSS,REPRODUCTIVE AGE,EK,JM,DF speckles in 2001 so probably around 20. Originally aged on repro age.,YEAR ESTIMATE,01/05/2004,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Seen a few times but very distinctive.,,,,,,,,,,,
ALW,ALMOSTWAS,FALSE,,,MUN,MONTH ESTIMATE,15/11/1999,,,PREGNANCY,,JM,,LOOKED PREGNANT 3-OCT-99,MONTH ESTIMATE,15/03/2000,DEAD PREWEANING,,MIDPOINT,JM,,Calf never seen-based on pregnancy and next sighting,,,,,,,,DIED PREWEANING,,,
AMA,AMANDA,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1984,,,REPRODUCTIVE AGE,,,,Photos too poor to get better estimate or range.,YEAR ESTIMATE,01/05/2009,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,JM,,PDA AMA not sighted since PDA was young. PDA could be weaned or dead.,,,,,,,,,,2004,
AME,AMELIE,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1991,11/1/1986,11/1/1991,SSSS,REPRODUCTIVE AGE,EK,,Has some lateral specks in 1991 and a few high up near DF but not on DF.,,,,,,,,,,,,,,,,,,,
AMO,AMOK,FALSE,FEMALE,HIGH,TUK,MONTH ESTIMATE,11/01/1996,,,INFANT FIRST SIGHT,,KH,,NO FETAL LINES VISIBLE - SMOOTH; CHIN-SLAP SURFACINGS; BRIEF BP,MONTH ESTIMATE,01/05/2016,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,VF,"Last seen 7-Mar-16, her family seen frequently without her the following year",WEEK ESTIMATE,5/14/2000,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,Y BY MDPT; COULD BE 12 OR 13 AT FIRST BIRTH (TUK),2007,
AMP,AMP,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1986,11/1/1980,11/1/1987,SSSS,REPRODUCTIVE AGE,EK,JM,,,,,,,,,,,,,,,,,,,,
ANA,ANAK,FALSE,,,MER,WEEK ESTIMATE,11/01/1988,,,INFANT FIRST SIGHT,,JM,,NO SIZE INFORMATION,MONTH ESTIMATE,01/05/1989,,,DEFAULT DATE,JM,,Both disappeared; MER frequently seen up until Dec 88,,,,,,,,DIED PREWEANING,,1989,
ANE,ANEMONE,FALSE,FEMALE,HIGH,CLO,MONTH ESTIMATE,11/01/2009,9/1/2009,3/1/2010,,,JM,,,,,,,,,,,DAY ESTIMATE,6/8/2013,,,MIDPOINT,JM,,YES,,,RCC thought it was a yoy about 6 months old at first sight. Gap in sightings of CLO- last seen 2007.
ANG,ANGLEMANGLE,FALSE,,,,YEAR ESTIMATE,11/01/1972,,,91CAT,,,,Photo too poor to improve age estimation.,YEAR ESTIMATE,01/05/1988,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen in 1984 by RAS. Distinctive so definitely gone.,,,,,,,,,,,
ANK,ANKLET,FALSE,,,PEG,DAY ESTIMATE,23/11/2000,,,INFANT FIRST SIGHT,,RW,,"FOLDS, LUMPY, TRAILING EDGE OF DORSAL WAVY AND DORSAL FOLDED OVER, CLAF LENGTH OF MOTHERS FLUKES. CORKING UP. PEG AND CALF EITHER BEHIND OR IN FRONT OF REST OF GROUP (PUC, KIY, PIC, SQU, RHO)",DAY ESTIMATE,11/01/2001,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2001,
ANT,ANTOINE,FALSE,MALE,HIGH,,,11/01/1973,,,SSSS,,,,,YEAR ESTIMATE,01/05/2014,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,JM,,Except for 1991-1992 ANT virtually every year. Estimated to be about 40 years old based on speckling.,,,,,,,,,,2006,
ANV,ANVIL,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1976,11/1/1966,11/1/1976,91CAT,ALLIANCE,EK,JM,Speckles on DF in 1996.,,,,,,,,,,,,,,,,,,2006,
ANW,ANTWERP,TRUE,MALE,HIGH,,YEAR ESTIMATE,11/01/1992,,,ASSIGNED 10 YRS,,JM,,,,,,,,,,,,,,,,,,,,,
AOV,ALOE VERA,FALSE,UNKNOWN,,COP,WEEK ESTIMATE,11/01/2014,11/1/2014,12/15/2014,INFANT FIRST SIGHT,SPRING SUMMER YOY,EK,,"estimated ~6 months. No folds or stripes, df erect, weight and surfacing normal, synchrony most, bp 31-60 sec, Str, max distance 2 predominant 0",MONTH ESTIMATE,11/01/2016,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,,,,
APJ,APPLEJACK,FALSE,,,CVO,WEEK ESTIMATE,25/11/2022,11/10/2022,12/10/2022,INFANT FIRST SIGHT,,VF,JM,"Calvados last seen 10-Nov-22, then seen with new calf on 7-May-23. This is her first calf. The calf is a larger yoy (estimated ~8 mos on the boat), so probably born very close to last sighting. Very similar in size to Jarrah’s calf Marri, which was born early November.",,,,,,,,,,,,,,,,,,,
APO,APOLLO,FALSE,MALE,HIGH,ATH,MONTH ESTIMATE,11/01/2003,,,SPRING SUMMER YOY,,AKC,,YOY. Estimated Bday Dec 03 because sighted near the beginning of November [Oct 26] with no calf and no mention of very pregnant animal,,,,,,,,,WEEK ESTIMATE,6/25/2007,REDUCED MC ASSOCIATION,,MIDPOINT,SAS,,YES,ESTIMATED B-DAY DEC 03 B/C SIGHTED NEAR THE BEGINNING OF NOV (OCT 26) WITH NO CALF AND NO MENTION OF VERY PREGNANT ANIMAL;,2007,
APS,AMPERSAND,TRUE,MALE,HIGH,,YEAR ESTIMATE,11/01/1998,,,,,JM,,,,,,,,,,,,,,,,,,,,,
APX,APEX,TRUE,MALE,HIGH,,YEAR ESTIMATE,11/01/1985,11/1/1983,11/1/1988,SSSS,ALLIANCE,EK,,Bday updated based on SSSS.,YEAR ESTIMATE,01/05/2015,OVER 3 YEARS,,DEFAULT DATE,EK,JM,,,,,,,,,,,,
AQU,AQUA,FALSE,,,OCE,WEEK ESTIMATE,15/11/2003,,,INFANT FIRST SIGHT,MOTHER FIRST SIGHT WITH CALF,AS,,"DF ERECT, FETAL STRIPES, CHIN-SLAP SURFACINGS IN BEAUFORT 4 WITH BIG SWELL, NORMAL WEIGHT",,,UNCERTAIN SURVIVAL STATUS PREWEANING,,,JM,,,,,,,,,,NO,,2003,
ARA,ARANCINO,FALSE,,,RSO,WEEK ESTIMATE,15/10/2020,9/15/2020,11/15/2020,INFANT FIRST SIGHT,,JM,VF,"Risotto was last seen Feb 19th, 2020 and first seen with Arancini December 14th, 2020 (DIC). Molly saw Risotto in serious consortship from at least late September to early December. JM estimates ARA to be about 5 months from March photos",,,,,,,,,,,,,,,,,,,
ARC,ARCHIE,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1981,11/1/1980,11/1/1982,SSSS,,EK,JM,RCC speckle estimate posthoc coded and might not have been that accurate. But by size and lack of speckles his age is pretty good.,MONTH ESTIMATE,01/05/1999,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen often and distinctive.,,,,,,,,,,1998,
ARG,ARGON,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1977,11/1/1972,11/1/1977,SSSS,ALLIANCE,EK,JM,Has Class 2 speckles on DF in 1997. His original bday was 1982 based on alliance but is clearly a little older.,YEAR ESTIMATE,01/05/2008,OVER 3 YEARS,,DEFAULT DATE,EK,,Gas Gang members were sighted since. Mangle and Klaus disappeared in 2005 and 2004 respectively.,,,,,,,,,,2005,
ARI,ARIES,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1991,11/1/1989,11/1/1991,REPRODUCTIVE AGE,SSSS,SAS,,has a few speckles on ped in 2013,,,,,,,,,,,,,,,,,,,
ARN,ARNIE,FALSE,MALE,HIGH,LAS,YEAR ESTIMATE,11/01/1988,11/1/1986,11/1/1988,GAP,,EK,JM,"From DNA, LAS is the mother. ARN in consortship by 2001 so probably 15 or so by then. In 91 cat photo with mom",,,,,,,,,MONTH ESTIMATE,5/1/1992,SIBLING BIRTH,,DEFAULT DATE,JM,VF,YES,"ARN with LAS on 28Sep91, YEL born 1Nov92",2006,
ARP,ARP,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1982,11/1/1978,11/1/1982,SSSS,,,,Has DF speckles in 2002 so at least 20.,,,,,,,,,,,,,,,,,,2006,
ART,ARTEMIS,FALSE,MALE,HIGH,ATH,YEAR ESTIMATE,11/01/1999,,,MOTHER FIRST SIGHT WITH CALF,,JJW,,"LOOKS YOUNG, YOY OR 2 - JJW ON 9NOV01",,,,,,,,,YEAR ESTIMATE,4/8/2003,REDUCED MC ASSOCIATION,SIBLING BIRTH,,JM,,NO,BUT BIRTHDAY COULD BE ONE YEAR EARLIER;GUESSING B-DAY IS AT OR BEFORE 1999 B/C SEEN IN 2001 AND NO SIZE INFO MENTIONED-USUALLY MEANS NOT A YOY.,2005,
ASD,ASTEROID,FALSE,MALE,HIGH,FID,MONTH ESTIMATE,11/01/2005,,,,,RCC,,"likely yoy, no fetal folds; mom with males in 2004",,,,,,,,,MONTH ESTIMATE,4/17/2010,,,MIDPOINT,SAS,,YES,,,
ASH,ASHES,FALSE,MALE,HIGH,,,11/01/1980,,,SSSS,,,,,YEAR ESTIMATE,01/05/2017,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 12-May-15 and is over 30yrs old,,,,,,,,,,2006,
ASN,ASHTON,FALSE,FEMALE,HIGH,DEM,MONTH ESTIMATE,01/01/2004,12/1/2003,1/15/2004,INFANT FIRST SIGHT,,QAG,,"DF ERECT, NO FETAL STRIPES, NORMAL WEIGHT, CHIN-SLAP SURFACINGS",,,,,,,,,WEEK ESTIMATE,5/30/2007,REDUCED MC ASSOCIATION,,MIDPOINT,,,YES,MALES CONSORT WITH DEM IN 2007,2007,
AST,ASTRO,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1977,11/1/1960,11/1/1977,91CAT,ALLIANCE,EK,JM,Was in consortships by late 80s and with SHA WAV SPU.,MONTH ESTIMATE,01/05/1993,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen often so we think he died in 1993.,,,,,,,,,,1992,
ASY,ASTRAY,FALSE,MALE,HIGH,AMO,WEEK ESTIMATE,01/01/2013,12/15/2012,1/15/2013,,,JM,,,,,,,,,,,MONTH ESTIMATE,5/1/2016,GAP,,DEFAULT DATE,JM,,YES,"ASY last seen in bp on 18Sep15 by EK, also last sighting of AMO; ASY seen 25Aug18 by TCC; think AMO died and ASY orphaned. As we saw AMO every year the estimated weaning date is 2016.",,JM estimated 4-5 mos old; range 15-dec12 to 15jan13
ATC,ATTICUS,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1991,11/1/1986,11/1/1991,SSSS,ASSIGNED 10 YRS,EK,VF,Not seen with calf until age 20.,,,,,,,,,,,,,,,,,,,
ATH,ATHENA,FALSE,FEMALE,HIGH,SCU,YEAR ESTIMATE,11/01/1985,11/1/1984,11/1/1985,SSSS,,EK,JM,"No DF specks in 2003 or 2004. Athena called Sooty then and was a juvenile. As Shout was born around 1989, Athena must have been born 84 or 85.",,,,,,,,,YEAR ESTIMATE,5/1/1989,,,,JM,,NO,Athena first seen as a juvenile but her sibling Shout was born around 1989.,2007,
ATI,ATILLA,FALSE,MALE,LOW,,YEAR ESTIMATE,11/01/1978,11/1/1968,11/1/1978,SSSS,,EK,,Originally assigned 10 years at first sight but had lots of DF speckles in 2003 so we think he is older than 25.,YEAR ESTIMATE,01/05/2011,OVER 3 YEARS,,DEFAULT DATE,EK,JM,6 year gap in his sightings but he is quite old and not seen for many years.,,,,,,,,,,2004,
ATL,ATLAS,FALSE,UNKNOWN,,ATH,WEEK ESTIMATE,21/10/2009,10/14/2009,10/28/2009,,,MAS,,est 2-3 wks lumpy fetal lines,MONTH ESTIMATE,17/03/2010,DEAD PREWEANING,,MIDPOINT,SAS,,,,,,,,,,,,,Estimated 2-3 weeks. Lumpy with fetal folds.
ATW,ATWOOD,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1988,11/1/1986,11/1/1988,,SSSS,EK,JM,Has DF speckles in 2013 but is very clean in 2003 so we think QWE was her first or one of her first calves.,,,,,,,,,,,,,,,,,,,
AUL,AURELIE,FALSE,UNKNOWN,,AME,MONTH ESTIMATE,11/01/2003,,,,,BLS,,yoy,,,UNCERTAIN SURVIVAL STATUS PREWEANING,GAP,,,,Could be dead or weaned.,,,,,,,,NO,,,
