"","Mother.ID","Dolphin.Name","NextCalfName","Death.Date","NextCalfBDay","Observation.ID","Observation.Date","Dolphin.ID.Certainty","Mom.Name","MomBDay","MomDDay","CensoredFour","ObsCount","Gap","dup"
"1","MUN","ALMOSTWAS",NA,2000-03-15,NA,9146,2001-04-28,"HIGH","MUNCH",1967-11-01,2006-09-01,0,378,156,FALSE
"2","COP","ALOE VERA",NA,2016-01-11,NA,25170,2018-08-08,"HIGH","COPPERTONE",2001-11-01,NA,0,14,380,FALSE
"3","PEG","ANKLET","STARLET",2001-01-11,2003-01-01,10317,2002-03-19,"HIGH","PEGLET",1989-11-01,2015-06-18,0,134,131,FALSE
"4","GHA","ARCHBISHOP DESMOND TUTU",NA,2004-06-07,NA,15501,2006-05-12,"HIGH","GHANDI",1971-11-01,2007-05-01,0,25,204,FALSE
"5","BSS","BADABING",NA,2019-04-07,NA,26209,2019-07-19,"HIGH","BLISS",1998-12-12,2019-07-26,0,51,18,FALSE
"6","BRE","BAGUETTE","BRICOLE",2014-04-11,2019-11-01,22358,2017-07-10,"HIGH","BREAD",1977-11-01,NA,0,21,668,FALSE
"7","FOO","BALL","BOUNCE",2003-12-01,2005-02-01,13660,2004-07-27,"HIGH","FOOTIE",1971-11-01,2016-05-01,0,22,48,FALSE
"8","SOG","BALMY","DAMP",2004-11-29,2006-01-15,14777,2005-03-29,"HIGH","SOGGY",1991-11-01,NA,0,28,112,FALSE
"9","TUL","BANKSIA","POPPY",2012-10-07,2013-10-25,18834,2013-06-15,"HIGH","TULIP",1994-11-01,NA,0,8,238,FALSE
"10","MUN","BARELYEXISTED","MAYBENOT",1992-12-04,1995-12-01,4195,1995-08-06,"HIGH","MUNCH",1967-11-01,2006-09-01,0,144,320,FALSE
"11","COI","BEYONCE","MINAJ",2017-03-01,2018-11-15,24889,2018-06-25,"HIGH","COOLIO",1999-11-01,NA,0,16,345,FALSE
"12","BUL","BLOAT","SURGE",1993-10-04,1997-11-01,4157,1995-07-26,"HIGH","BULGE",1972-11-01,2003-05-01,0,171,357,FALSE
"13","BLI","BLOOPER",NA,2013-02-06,NA,20313,2015-04-18,"HIGH","BLIP",1970-11-01,NA,0,96,273,FALSE
"14","FAT","BLUBBY",NA,2000-01-04,NA,9129,2001-04-15,"HIGH","FATFIN",1972-11-01,2005-05-01,0,890,147,FALSE
"15","KIT","BONO","OSPREY",2005-06-15,2007-11-01,15549,2006-05-18,"HIGH","KITE",1989-11-01,NA,0,26,171,FALSE
"16","BSS","BONZER","DIVINE",2016-01-10,2017-01-31,21804,2016-07-15,"HIGH","BLISS",1998-12-12,2019-07-26,0,63,44,FALSE
"17","WOM","BOODIE",NA,2005-03-10,NA,16251,2007-05-22,"HIGH","WOMBAT",1988-11-01,2009-05-01,0,52,234,FALSE
"18","BYT","BOSTON","MEGABYTE",2002-01-07,2003-11-18,11964,2003-03-20,"HIGH","BYTFLUKE",1972-11-01,NA,0,92,131,FALSE
"19","SKF","BUFF","PUFFIN",2013-03-08,2015-10-03,19682,2014-06-26,"HIGH","SKRUFF",1994-11-01,NA,0,216,209,FALSE
"20","BRE","BUN","BREKI",1996-11-22,1998-03-01,5154,1997-03-25,"HIGH","BREAD",1977-11-01,NA,0,9,5,FALSE
"21","OLI","CALAMATA","BRUSCHETTA",2009-04-16,2010-11-01,17494,2010-05-17,"HIGH","OLIVE",1979-11-01,NA,0,18,205,FALSE
"22","ARI","CANCER","PISCES",2004-07-11,2005-11-01,15178,2005-08-15,"HIGH","ARIES",1991-11-01,NA,0,6,366,FALSE
"23","MTS","CANNIBAL","CRICKET",2000-05-01,2001-09-10,9173,2001-05-10,"HIGH","MANTIS",1974-11-01,2002-05-01,0,6,232,FALSE
"24","CYR","CASANOVA",NA,2019-05-01,NA,25978,2019-10-09,"HIGH","CYRANO",1989-11-01,NA,0,15,118,FALSE
